City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,arraial do cabo,-22.9661,-42.0278,296.07,56,0,6.69,BR,1724868558
149,dauphin,51.1494,-100.0502,296.54,33,27,5.9,CA,1724868559
150,ndjole,-0.1783,10.7649,301.43,62,91,3.55,GA,1724868561
151,saint-philippe,-21.3585,55.7679,294.09,71,47,7.34,RE,1724868562
152,wenxing,28.6667,112.8833,297.04,87,98,3.32,CN,1724868563
153,aykhal,66.0,111.5,279.16,86,99,1.64,RU,1724868564
154,mayya,61.7333,130.2811,280.45,95,100,3.33,RU,1724868565
155,nova vicosa,-17.8919,-39.3719,297.12,65,33,5.48,BR,1724868566
156,nikolayevsk-on-amure,53.1406,140.73,289.32,94,53,1.9,RU,1724868567
157,luderitz,-26.6481,15.1594,286.86,58,0,14.79,NA,1724868568
158,grand rapids,42.9634,-85.6681,302.73,70,75,5.14,US,1724868532
159,farrukhnagar,17.0778,78.2011,296.99,82,90,6.22,IN,1724868572
160,nuku'alofa,-21.1333,-175.2,291.34,100,20,0.51,TO,1724868573
161,buala,-8.145,159.5921,299.04,86,53,3.32,SB,1724868574
162,la passe,45.5549,-0.8967,294.35,75,63,4.29,FR,1724868575
163,neyshabur,36.2133,58.7958,297.54,21,1,1.19,IR,1724868576
164,east london,-33.0153,27.9116,286.59,42,20,12.09,ZA,1724868577
165,puerto real,36.5282,-6.1901,301.22,73,0,5.14,ES,1724868578
166,cadale,2.7603,46.3222,299.5,81,93,5.45,SO,1724868580
167,port elizabeth,-33.918,25.5701,283.88,63,50,4.92,ZA,1724868581
168,al muwayh,22.4333,41.7583,306.05,32,79,7.33,SA,1724868582
169,ebon,4.582,168.6964,301.31,73,100,4.57,MH,1724868583
170,tiksi,71.6872,128.8694,274.59,90,74,3.35,RU,1724868584
171,punta arenas,-53.15,-70.9167,279.21,65,40,13.89,CL,1724868411
172,ciudad del maiz,22.4,-99.6,300.98,47,29,0.79,MX,1724868586
173,severo-yeniseyskiy,60.3725,93.0408,281.8,81,25,1.27,RU,1724868587
174,bryne,58.7354,5.6477,293.28,67,75,3.6,NO,1724868589
175,kill devil hills,36.0307,-75.676,305.16,51,0,1.54,US,1724868590
176,cao bang,22.6667,106.25,298.78,94,96,0.63,VN,1724868591
177,puerto baquerizo moreno,-0.9,-89.6,295.7,73,75,5.66,EC,1724868592
178,ola,59.5833,151.2833,279.9,64,25,4.52,RU,1724868593
179,quellon,-43.1167,-73.6167,283.25,74,4,4.8,CL,1724868594
180,lebu,-37.6167,-73.65,284.17,67,19,8.29,CL,1724868595
181,laguna,38.421,-121.4238,304.39,34,0,3.09,US,1724868596
182,mukalla,14.5425,49.1242,304.57,61,86,4.6,YE,1724868597
183,deba,10.2086,11.3859,297.98,85,100,2.11,NG,1724868599
184,mount isa,-20.7333,139.5,285.02,62,100,0.51,AU,1724868563
185,kilinochchi,9.3961,80.3982,299.95,79,100,4.46,LK,1724868601
186,paidha,2.4167,30.9855,290.51,86,22,2.35,UG,1724868567
187,red oak,32.5176,-96.8044,306.86,51,0,3.6,US,1724868603
188,mount pearl,47.5166,-52.7813,296.73,68,33,5.81,CA,1724868604
189,kingston,17.997,-76.7936,307.68,55,64,2.76,JM,1724868465
190,dakoro,14.5106,6.765,303.92,49,98,4.28,NE,1724868606
191,bamyan,34.75,67.25,282.11,53,5,3.76,AF,1724868607
192,souillac,-20.5167,57.5167,294.58,69,34,8.95,MU,1724868609
193,keflavik,64.0049,-22.5624,284.39,71,75,7.2,IS,1724868562
194,praia da vitoria,38.7333,-27.0667,299.13,75,63,2.46,PT,1724868611
195,dabakala,8.3667,-4.4333,297.89,92,60,2.19,CI,1724868612
196,tazovsky,67.4667,78.7,284.27,87,32,2.56,RU,1724868613
197,campestre,-21.7111,-46.2464,299.4,31,2,1.99,BR,1724868614
198,yaren,-0.5472,166.916,301.85,68,100,6.2,NR,1724868615
199,carnarvon,-24.8667,113.6333,292.73,77,1,6.22,AU,1724868616
200,hasaki,35.7333,140.8333,299.31,85,100,2.65,JP,1724868618
201,el granada,37.5027,-122.4694,299.27,66,0,3.6,US,1724868619
202,yang talat,16.3998,103.3679,298.39,90,91,3.39,TH,1724868620
203,kokopo,-4.352,152.2633,298.2,88,65,4.38,PG,1724868622
204,necocli,8.4234,-76.786,303.51,69,58,3.73,CO,1724868624
205,kapa'a,22.0752,-159.319,300.33,82,0,4.63,US,1724868525
206,dnipro,48.45,34.9833,301.14,27,91,6.13,UA,1724868542
207,nadi,-17.8,177.4167,289.15,88,20,0.0,FJ,1724868391
208,krasnoshchekovo,51.6708,82.7289,284.91,75,67,1.23,RU,1724868629
209,asenovgrad,42.0167,24.8667,297.86,47,100,1.54,BG,1724868630
210,kingsland,30.8,-81.6898,305.36,77,9,2.51,US,1724868631
211,kariba,-16.5167,28.8,298.04,29,7,1.7,ZW,1724868633
212,qaqortoq,60.7167,-46.0333,284.34,87,100,3.0,GL,1724868634
213,laurel,39.0993,-76.8483,309.28,52,0,4.63,US,1724868337
214,adamovka,51.5223,59.9396,291.63,59,5,1.69,RU,1724868636
215,tanjungbalai,2.9667,99.8,298.11,93,100,1.37,ID,1724868637
216,bandarbeyla,9.4942,50.8122,299.26,75,81,14.82,SO,1724868639
217,mikun',62.3547,50.0771,285.67,67,77,2.24,RU,1724868640
218,vadso,70.0744,29.7487,284.24,87,75,2.06,NO,1724868642
219,fuyu,45.1833,124.8167,292.13,90,64,3.55,CN,1724868643
220,palmer,42.1584,-72.3287,304.55,52,75,6.17,US,1724868645
221,remire-montjoly,4.9167,-52.2667,307.17,55,20,3.09,GF,1724868646
222,xingcheng,40.6167,120.7167,293.68,79,43,1.65,CN,1724868647
223,ain defla,36.2641,1.9679,306.11,28,0,3.97,DZ,1724868648
224,alofi,-19.0595,-169.9187,291.09,94,20,2.06,NU,1724868621
225,galesong,-5.3166,119.3661,298.09,58,25,1.37,ID,1724868651
226,wuyang,31.9925,116.2472,297.19,98,84,2.5,CN,1724868652
227,fort bragg,35.139,-79.006,308.1,48,0,2.57,US,1724868653
228,sequeira,40.5536,-7.2259,299.7,23,50,2.11,PT,1724868654
229,dudinka,69.4058,86.1778,283.55,90,34,3.32,RU,1724868655
230,davos,46.8043,9.8372,288.29,68,94,1.53,CH,1724868656
231,saipan,15.1355,145.701,302.54,84,75,4.12,MP,1724868657
232,uray,60.1247,64.7758,287.7,96,100,2.53,RU,1724868658
233,oltinko'l,40.8011,72.1634,294.28,54,99,6.04,UZ,1724868659
234,karystos,38.0133,24.4161,302.83,32,0,1.79,GR,1724868662
235,sydney mines,46.2367,-60.2177,294.88,73,100,4.02,CA,1724868663
236,meulaboh,4.1363,96.1285,298.38,84,100,1.61,ID,1724868435
237,crescent city,41.756,-124.2018,292.02,73,0,2.24,US,1724868469
238,bengkulu,-3.8004,102.2655,297.78,88,100,3.87,ID,1724868666
239,ust'-ilimsk,58.0006,102.6619,281.41,98,84,1.1,RU,1724868667
240,sisimiut,66.9395,-53.6735,279.35,89,100,4.42,GL,1724868668
241,yelizovo,53.1873,158.3805,282.23,87,0,1.0,RU,1724868670
242,glace bay,46.1969,-59.957,294.76,74,100,4.92,CA,1724868671
243,wotho,10.1657,166.0102,301.6,74,100,4.46,MH,1724868672
244,pangody,65.85,74.4859,287.07,81,53,3.24,RU,1724868673
245,alpine,32.835,-116.7664,298.52,58,0,0.0,US,1724868674
246,barcelos,41.5388,-8.6151,293.71,83,98,3.04,PT,1724868675
247,tadine,-21.55,167.8833,291.81,78,0,4.21,NC,1724868676
248,san julian,21.0167,-102.1667,295.45,55,71,2.08,MX,1724868677
249,saldanha,-33.0117,17.9442,279.18,51,88,7.13,ZA,1724868678
250,sitka,57.0531,-135.33,288.09,88,100,6.17,US,1724868587
251,cabo san lucas,22.8909,-109.9124,307.32,49,0,4.63,MX,1724868681
252,choyr,46.3611,108.3611,291.08,74,88,4.77,MN,1724868682
253,vilyuchinsk,52.9306,158.4028,282.3,87,40,4.68,RU,1724868683
254,ukholovo,53.7929,40.4892,296.23,46,99,2.69,RU,1724868684
255,mhamid,29.82,-5.72,315.19,4,1,4.67,MA,1724868685
256,lata,40.1629,-8.3327,293.99,72,64,3.97,PT,1724868686
257,gambat,27.3515,68.5205,300.57,83,100,5.4,PK,1724868687
258,nogliki,51.8333,143.1667,287.62,95,27,3.03,RU,1724868689
259,rongelap,11.1635,166.8941,301.48,75,100,4.18,MH,1724868690
260,daru,-9.0763,143.2092,298.44,74,45,5.98,PG,1724868691
261,ploneour-lanvern,47.9,-4.2833,291.33,94,100,4.63,FR,1724868692
262,russellville,35.2784,-93.1338,309.81,50,0,2.06,US,1724868400
263,as sulayyil,20.4607,45.5779,310.79,10,57,4.25,SA,1724868694
264,ravar,31.2656,56.8055,305.45,13,0,3.89,IR,1724868565
265,katsuura,35.1333,140.3,299.22,86,100,3.21,JP,1724868696
266,yangshuo,24.7808,110.4897,298.01,94,53,1.28,CN,1724868697
267,baijiantan,45.6333,85.1833,300.87,26,1,3.98,CN,1724868699
268,loreto,22.2667,-101.9667,298.05,33,66,1.89,MX,1724868700
269,egilsstadir,65.2653,-14.3948,281.51,89,100,2.06,IS,1724868434
270,at-bashi,41.1702,75.8106,286.33,57,53,0.84,KG,1724868702
271,tamanrasset,22.785,5.5228,297.07,48,69,4.85,DZ,1724868703
272,port lincoln,-34.7333,135.8667,285.25,71,68,3.92,AU,1724868704
273,hadibu,12.65,54.0333,299.94,78,84,7.59,YE,1724868692
274,bousso,10.4795,16.7117,297.21,92,100,1.98,TD,1724868706
275,hampton bays,40.869,-72.5176,299.74,82,47,3.13,US,1724868708
276,constantia,44.1833,28.65,294.65,70,62,2.61,RO,1724868649
277,muynoq,43.7683,59.0214,294.41,53,0,4.78,UZ,1724868711
278,riberalta,-10.9833,-66.1,305.26,35,100,2.06,BO,1724868712
279,weno,7.4515,151.8468,300.12,89,100,0.0,FM,1724868713
280,nagqu,31.5,92.0,276.35,87,70,1.18,CN,1724868714
281,manokwari,-0.8667,134.0833,298.27,85,91,2.26,ID,1724868715
282,port blair,11.6667,92.75,300.43,81,100,10.0,IN,1724868716
283,battagram,34.6772,73.0233,295.43,78,100,1.68,PK,1724868718
284,rangkasbitung,-6.3591,106.2494,297.39,85,99,1.55,ID,1724868719
285,estreito,-5.7833,-43.25,310.27,21,80,3.46,BR,1724868720
286,wewak,-3.5534,143.6268,298.44,90,26,2.58,PG,1724868721
287,ust'-uda,54.1742,103.0304,283.73,94,42,1.42,RU,1724868722
288,san luis de la loma,17.2706,-100.8939,304.25,64,65,3.48,MX,1724868724
289,manaure,11.7751,-72.4445,307.24,48,6,7.48,CO,1724868728
290,magong,23.5654,119.5863,301.51,86,100,4.07,TW,1724868466
291,tashtyp,52.7939,89.8983,282.82,88,6,1.42,RU,1724868730
292,saint-pierre,-21.3393,55.4781,291.97,77,0,2.06,RE,1724868731
293,zaki biam,7.5167,9.6167,298.09,84,91,2.13,NG,1724868732
294,nar'yan-mar,67.6713,53.087,283.96,83,76,8.47,RU,1724868733
295,san andres,12.5847,-81.7006,305.16,70,75,5.14,CO,1724868735
296,viedma,-40.8135,-62.9967,291.36,39,97,6.15,AR,1724868516
297,tete,-16.1564,33.5867,300.2,34,0,2.06,MZ,1724868737
298,kapuskasing,49.4169,-82.4331,288.37,39,100,2.33,CA,1724868661
299,charlottetown,46.2352,-63.1267,293.46,90,100,6.17,CA,1724868687
300,kavalerovo,44.2661,135.0572,288.83,97,70,0.58,RU,1724868740
301,pointe-noire,-4.7761,11.8635,297.19,78,100,1.54,CG,1724868741
302,happy valley-goose bay,53.3168,-60.3315,292.32,48,75,4.12,CA,1724868742
303,badger,64.8,-147.5333,285.08,84,40,1.54,US,1724868744
304,arteche,12.2645,125.4048,298.64,91,100,1.01,PH,1724868745
305,waycross,31.2136,-82.354,306.42,58,40,2.57,US,1724868746
306,twin falls,42.3505,-114.6445,290.34,24,0,6.17,US,1724868747
307,pierre,44.3683,-100.351,304.66,58,0,8.75,US,1724868748
308,margate,51.3813,1.3862,297.52,57,81,3.22,GB,1724868722
309,yorosso,12.3536,-4.7761,299.09,80,81,3.47,ML,1724868750
310,conchas,-23.0153,-48.0106,301.87,25,4,2.45,BR,1724868751
311,halifax,44.6453,-63.5724,291.75,95,100,7.2,CA,1724868676
312,podari,44.25,23.7833,299.91,57,0,1.54,RO,1724868754
313,polyarnyy,69.1989,33.4478,285.44,66,99,3.71,RU,1724868755
314,mountain home,43.133,-115.6912,290.86,33,0,8.75,US,1724868756
315,lukow,51.929,22.3796,297.86,52,7,4.0,PL,1724868757
316,kristiansund,63.1115,7.732,290.51,82,0,1.03,NO,1724868545
317,ilha de mocambique,-15.0342,40.7358,297.86,73,28,6.19,MZ,1724868760
318,yuzhno-kurilsk,44.0306,145.8556,290.96,96,100,1.27,RU,1724868762
